time,close
2013/02/20,756.85 
2013/02/21,739.49 
2013/02/22,737.66 
2013/02/23,741.31 
2013/02/25,732.17 
2013/02/26,733.09 
2013/02/27,731.26 
2013/03/01,746.80 
2013/03/04,738.57 
2013/03/05,744.97 
2013/03/06,705.67 
2013/03/07,698.35 
2013/03/08,698.35 
2013/03/11,696.52 
2013/03/12,678.24 
2013/03/13,676.41 
2013/03/14,680.99 
2013/03/15,712.06 
2013/03/18,693.78 
2013/03/19,686.47 
2013/03/20,686.47 
2013/03/21,686.47 
2013/03/22,685.56 
2013/03/25,680.99 
2013/03/26,702.92 
2013/03/27,714.81 
2013/03/28,712.98 
2013/03/29,715.72 
2013/04/01,705.67 
2013/04/02,697.44 
2013/04/03,711.15 
2013/04/08,700.18 
2013/04/09,704.75 
2013/04/10,711.15 
2013/04/11,723.03 
2013/04/12,705.67 
2013/04/15,699.27 
2013/04/16,690.13 
2013/04/17,681.90 
2013/04/18,659.96 
2013/04/19,654.48 
2013/04/22,647.16 
2013/04/23,636.20 
2013/04/24,645.34 
2013/04/25,628.88 
2013/04/26,672.76 
2013/04/29,719.38 
2013/04/30,736.74 
2013/05/02,742.23 
2013/05/03,740.40 
2013/05/06,769.65 
2013/05/07,767.82 
2013/05/08,769.65 
2013/05/09,776.96 
2013/05/10,772.39 
2013/05/13,755.94 
2013/05/14,776.96 
2013/05/15,823.58 
2013/05/16,874.77 
2013/05/17,867.46 
2013/05/20,863.80 
2013/05/21,896.71 
2013/05/22,880.25 
2013/05/23,850.09 
2013/05/24,872.94 
2013/05/27,883.00 
2013/05/28,914.07 
2013/05/29,904.93 
2013/05/30,897.62 
2013/05/31,889.39 
2013/06/03,876.60 
2013/06/04,904.93 
2013/06/05,905.85 
2013/06/06,897.62 
2013/06/07,885.74 
2013/06/10,946.07 
2013/06/11,914.07 
2013/06/13,869.28 
2013/06/14,894.88 
2013/06/17,914.07 
2013/06/18,900.36 
2013/06/19,901.28 
2013/06/20,891.22 
2013/06/21,842.78 
2013/06/24,859.23 
2013/06/25,841.86 
2013/06/26,840.95 
2013/06/27,851.92 
2013/06/28,877.51 
2013/07/01,899.45 
2013/07/02,892.14 
2013/07/03,871.11 
2013/07/04,838.21 
2013/07/05,863.80 
2013/07/08,840.95 
2013/07/09,849.17 
2013/07/10,868.37 
2013/07/11,904.93 
2013/07/12,886.65 
2013/07/15,892.14 
2013/07/16,898.53 
2013/07/17,883.00 
2013/07/18,851.92 
2013/07/19,792.50 
